OTU,species,subgenus,genus,tribe,subfamily,suprasubfamily,family,subsuperfamily,superfamily,subsection,section,parvorder,infraorder,suborder,order,superorder,subclass,infraclass,superinfraclass,class,superclass,subphylum,phylum,superphylum,infrakingdom,subkingdom,kingdom,Provider
Abrawayaomys_chebezi,Abrawayaomys_chebezi,-,Abrawayaomys,-,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrawayaomys_ruschii,Abrawayaomys_ruschii,-,Abrawayaomys,-,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_bennettii,Abrocoma_bennettii,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_boliviensis,Abrocoma_boliviensis,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_budini,Abrocoma_budini,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_cinerea,Abrocoma_cinerea,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_famatina,Abrocoma_famatina,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_shistacea,Abrocoma_shistacea,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_uspallata,Abrocoma_uspallata,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrocoma_vaccarum,Abrocoma_vaccarum,-,Abrocoma,-,-,-,Abrocomidae,-,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_andinus,Abrothrix_andinus,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_illuteus,Abrothrix_illuteus,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_jelskii,Abrothrix_jelskii,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_lanosus,Abrothrix_lanosus,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_longipilis,Abrothrix_longipilis,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Abrothrix_manni,Abrothrix_manni,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_0.9
Abrothrix_olivaceus,Abrothrix_olivaceus,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,Deuterostomia,Bilateria,-,wikipedia_NL
Abrothrix_sanborni,Abrothrix_sanborni,-,Abrothrix,Abrotrichini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Aconaemys_fuscus,Aconaemys_fuscus,-,Aconaemys,-,-,-,Octodontidae,-,Octodontoidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Aconaemys_porteri,Aconaemys_porteri,-,Aconaemys,-,-,-,Octodontidae,-,Octodontoidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Aconaemys_sagei,Aconaemys_sagei,-,Aconaemys,-,-,-,Octodontidae,-,Octodontoidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Aegialomys_xanthaeolus,Aegialomys_xanthaeolus,-,Aegialomys,Oryzomyini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_0.9
AENIGMYS_DIAMANTENSIS,AENIGMYS_DIAMANTENSIS,-,AENIGMYS,-,-,-,-,DinomyidaeAenigmys,Chinchilloidea,-,-,Caviomorpha,-,Hystricomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,-
Aepeomys_lugens,Aepeomys_lugens,-,Aepeomys,Thomasomyini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Aepeomys_reigi,Aepeomys_reigi,-,Aepeomys,Thomasomyini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
AGALMACEROS_BLICKI,AGALMACEROS_BLICKI,-,AGALMACEROS,Rangiferini,Capreolinae,-,Cervidae,-,-,-,-,-,Pecora,Ruminantia,Artiodactyla,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,
AHYTHERIUM_AUREUM,AHYTHERIUM_AUREUM,-,AHYTHERIUM,-,Megalonychinae,-,Megalonychidae,-,Megatheroidea,-,-,-,-,Folivora,Pilosa,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,-
Ailurus_fulgens,Ailurus_fulgens,-,Ailurus,-,-,-,Ailuridae,-,Musteloidea,-,-,-,-,Caniformia,Carnivora,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_aerosus,Akodon_aerosus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_affinis,Akodon_affinis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,Wikidata
Akodon_albiventer,Akodon_albiventer,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_aliquantulus,Akodon_aliquantulus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_azarae,Akodon_azarae,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_bogotensis,Akodon_bogotensis,-,Neomicroxus,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_boliviensis,Akodon_boliviensis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_budini,Akodon_budini,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_cursor,Akodon_cursor,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_dayi,Akodon_dayi,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_dolores,Akodon_dolores,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_fumeus,Akodon_fumeus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_iniscatus,Akodon_iniscatus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_juninensis,Akodon_juninensis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_kofordi,Akodon_kofordi,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_latebricola,Akodon_latebricola,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_lindberghi,Akodon_lindberghi,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_lutescens,Akodon_lutescens,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,NCBI
Akodon_mimus,Akodon_mimus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_molinae,Akodon_molinae,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_mollis,Akodon_mollis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_montensis,Akodon_montensis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_mystax,Akodon_mystax,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_orophilus,Akodon_orophilus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_paranaensis,Akodon_paranaensis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_pervalens,Akodon_pervalens,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_philipmyersi,Akodon_philipmyersi,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_0.9
Akodon_polopi,Akodon_polopi,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_reigi,Akodon_reigi,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_sanctipaulensis,Akodon_sanctipaulensis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_serrensis,Akodon_serrensis,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_siberiae,Akodon_siberiae,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_simulator,Akodon_simulator,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_spegazzinii,Akodon_spegazzinii,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,NCBI
Akodon_subfuscus,Akodon_subfuscus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_surdus,Akodon_surdus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_sylvanus,Akodon_sylvanus,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_toba,Akodon_toba,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_torques,Akodon_torques,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Akodon_varius,Akodon_varius,-,Akodon,Akodontini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alces_alces,Alces_alces,-,Alces,Alcini,Capreolinae,-,Cervidae,-,-,-,-,-,Pecora,Ruminantia,Artiodactyla,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,
Alouatta_arctoidea,Alouatta_arctoidea,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_belzebul,Alouatta_belzebul,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_caraya,Alouatta_caraya,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_discolor,Alouatta_discolor,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_guariba,Alouatta_guariba,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_juara,Alouatta_juara,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_0.9
Alouatta_macconnelli,Alouatta_macconnelli,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
ALOUATTA_MAUROI,ALOUATTA_MAUROI,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,
Alouatta_nigerrima,Alouatta_nigerrima,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_palliata,Alouatta_palliata,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_pigra,Alouatta_pigra,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_puruensis,Alouatta_puruensis,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,Wikidata
Alouatta_sara,Alouatta_sara,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_seniculus,Alouatta_seniculus,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Alouatta_ululata,Alouatta_ululata,-,Alouatta,-,Alouattinae,-,Atelidae,-,-,-,-,-,-,Haplorrhini,Primates,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Ametrida_centurio,Ametrida_centurio,-,Ametrida,-,Stenodermatinae,-,Phyllostomidae,-,-,-,-,-,-,-,Chiroptera,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Ammospermophilus_harrisii,Ammospermophilus_harrisii,-,Ammospermophilus,Marmotini,Xerinae,-,Sciuridae,-,-,-,-,-,-,Sciuromorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Ammospermophilus_interpres,Ammospermophilus_interpres,-,Ammospermophilus,Marmotini,Xerinae,-,Sciuridae,-,-,-,-,-,-,Sciuromorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Ammospermophilus_leucurus,Ammospermophilus_leucurus,-,Ammospermophilus,Marmotini,Xerinae,-,Sciuridae,-,-,-,-,-,-,Sciuromorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,Deuterostomia,Bilateria,-,Wikidata
Ammospermophilus_nelsoni,Ammospermophilus_nelsoni,-,Ammospermophilus,Marmotini,Xerinae,-,Sciuridae,-,-,-,-,-,-,Sciuromorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Amorphochilus_schnablii,Amorphochilus_schnablii,-,Amorphochilus,-,-,-,Furipteridae,-,-,-,-,-,-,-,Chiroptera,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Amphinectomys_savamis,Amphinectomys_savamis,-,Amphinectomys,Oryzomyini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
ANANCUS_DEFLOCCATUS,ANANCUS_DEFLOCCATUS,-,ANANCUS,-,-,-,Anancidae,-,Elephantoidea,-,-,-,Elephantida,-,Proboscidea,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,-
ANANCUS_ORARIUS,ANANCUS_ORARIUS,-,ANANCUS,-,-,-,Anancidae,-,Elephantoidea,-,-,-,Elephantida,-,Proboscidea,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,-
Andalgalomys_olrogi,Andalgalomys_olrogi,-,Andalgalomys,Phyllotini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Andalgalomys_pearsoni,Andalgalomys_pearsoni,-,Andalgalomys,Phyllotini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
Andinomys_edax,Andinomys_edax,-,Andinomys,Phyllotini,Sigmodontinae,-,Cricetidae,-,Muroidea,-,-,-,-,Myomorpha,Rodentia,-,-,Placentalia,-,Mammalia,-,Vertebrata,Chordata,-,-,-,Metazoa,EOL_Dynamic_Hierarchy_1.1
